,product_name,product_price,sales,rating,categories,stock,scraping_date,month,year,revenue,Price Range
0,Finally Found You! Soy Bright! Moisturizer - 2in1 Primer Makeup Dan Gel Pelembab Krim Siang & Malam,129000,175935,4.9,Moisturizer,3346,2025-06-30 08:52:00,6,2025,22695615000,"114,667 - 143,333"
1,Finally Found You! Triple Vitamin Soothing Cream 50gr,139000,3742,4.9,Moisturizer,12090,2025-06-30 08:52:00,6,2025,520138000,"114,667 - 143,333"
2,Bundle Skin Barrier 2 Pcs Soothing Moisturizer & Booster,268000,361,5.0,Moisturizer,4751,2025-06-30 08:52:00,6,2025,96748000,"258,000 - 286,667"
3,Bundle Skin Barrier 2 Pcs Soothing Cream & SPF 50,258000,209,5.0,Moisturizer,6271,2025-06-30 08:52:00,6,2025,53922000,"229,333 - 258,000"
4,Finally Found You! Bundle Skin Barrier 2 Pcs Vitamin B12 Peach Snail Mucin,258000,219,4.9,Moisturizer,3827,2025-06-30 08:52:00,6,2025,56502000,"229,333 - 258,000"
5,FFY Bundle 2Pcs: Soy Bright & Snail Cream,248000,393,5.0,Moisturizer,1934,2025-06-30 08:52:00,6,2025,97464000,"229,333 - 258,000"
6,Finally Found You! BUNDLE 2 PCS: SOY Bright! Moisturizer 30gr & SUN-RICE ALL DAY Invisible UV Shield 50ml,238000,2030,4.9,Moisturizer,1939,2025-06-30 08:52:00,6,2025,483140000,"229,333 - 258,000"
7,Finally Found You! Bundle 2PCS: Soy Bright & Revive Serum,248000,201,4.9,Moisturizer,1944,2025-06-30 08:52:00,6,2025,49848000,"229,333 - 258,000"
8,FFY Bundle 2 Pcs: Soothing Cream & Exfoliating Serum,248000,44,5.0,Moisturizer,1559,2025-06-30 08:52:00,6,2025,10912000,"229,333 - 258,000"
9,Finally Found You! Skin Barrier Treatment 2 Pcs,248000,544,4.9,Moisturizer,1945,2025-06-30 08:52:00,6,2025,134912000,"229,333 - 258,000"
10,Finally Found You! BUNDLE 2 PCS: Big Size Soy Bright! Moisturizer 80gr & SUN-RICE ALL DAY Invisible UV Shield SPF 50 PA++++ 50ml,348000,296,5.0,Moisturizer,1144,2025-06-30 08:52:00,6,2025,103008000,"344,000 - 372,667"
11,Finally Found You! 3 Pcs Skin Barrier Treatment,387000,437,4.9,Moisturizer,1949,2025-06-30 08:52:00,6,2025,169119000,"372,667 - 401,333"
12,Bundle Skin Barrier 2 Pcs Soothing Moisturizer & Booster,268000,447,5.0,Toner,2972,2025-07-01 11:42:00,7,2025,119796000,"245,250 - 272,500"
13,Finally Found You! Skin Barrier Set Hydriceing Brightening,367000,186,4.9,Toner,12678,2025-07-01 11:42:00,7,2025,68262000,"354,250 - 381,500"
14,HYDRICEING Brightening Essence Booster 100ml,149000,103602,4.9,Toner,4643,2025-07-01 11:42:00,7,2025,15436698000,"136,250 - 163,500"
15,Bundle 2Pcs Hydriceing Brightening Serum 100ml & Soy Clear 20ml,288000,1425,4.9,Toner,1948,2025-07-01 11:42:00,7,2025,410400000,"272,500 - 299,750"
16,Bundle 2Pcs Hydriceing Brightening & Oatstanding Serum,258000,265,4.9,Toner,2518,2025-07-01 11:42:00,7,2025,68370000,"245,250 - 272,500"
17,Bundle 2 Pcs Hyd-Rice-Ing & Sun-Rice SPF 50,258000,1391,4.9,Toner,2957,2025-07-01 11:42:00,7,2025,358878000,"245,250 - 272,500"
18,Finally Found You! 2PCS Hydriceing Brightening Bundle,268000,66,4.9,Toner,2962,2025-07-01 11:42:00,7,2025,17688000,"245,250 - 272,500"
19,Bundle 2Pcs Hydriceing Brightening & Copper Peptide Serum,328000,54,5.0,Toner,2967,2025-07-01 11:42:00,7,2025,17712000,"327,000 - 354,250"
20,Finally Found You! Bundle 2 Pcs Brightening Mask & Booster,258000,289,4.9,Toner,2804,2025-07-01 11:42:00,7,2025,74562000,"245,250 - 272,500"
