,Nama Produk,Harga,Rating,Sales,scraping_date,revenue,category,bundling_or_not,price_bins
0,Calming Baby Cream - Expert Care Calming Rub Cream 50g Telon & Lavender dengan Eucalyptus & Menthol - Tidur Nyenyak Imun Kuat - Krim Penghangat Bebas Kolik Napas Lega Bayi dan Anak,89900,4.9,105762,6/16/2025 12:11,9508003800,Calming Rub Cream,0,"(69500.0, 104250.0]"
1,Face & Body Lotion Anak - Expert Care Face & Body Lotion 50g & 150g dengan Colloidal Oatmeal - Lembapkan Cegah Ruam - Cream Moisturizer Kulit Sensitif Bayi dan Anak,91900,4.9,157490,6/16/2025 12:11,14473331000,Face & Body Lotion,0,"(69500.0, 104250.0]"
2,Hair Lotion Anak & Bayi - Expert Care Hair Nutrilotion 100ml dengan Nutribiotic - Rambut Tebal & Wangi Seharian - Kemiri Keratin Postbioitic,67900,4.9,55423,6/16/2025 12:11,3763221700,HairCare,0,"(34750.0, 69500.0]"
3, Expert Care Paket 2pcs Telon Calming Rub Cream 50g [Paket Skincare Anak & Bayi],179800,5,6170,6/16/2025 12:11,1109366000,Special Bundle,1,"(173750.0, 208500.0]"
4,Expert Care 2in1 Shampoo and Body Wash 250ml,91400,4.9,52196,6/16/2025 12:11,4770714400,Hair & Body Wash,0,"(69500.0, 104250.0]"
5,Expert Care Physical Sunscreen SPF 50+ PA+++ 50g ,126900,4.9,74438,6/16/2025 12:11,9446182200,Physical Sunscreen,0,"(104250.0, 139000.0]"
6," Face and Body Lotion 150g + Hair Lotion 100ml [[Buy 1 Get 2] Paket Skincare Anak & Bayi,Expert Care Paket Ekstra Glowing]",188860,5,2766,6/16/2025 12:11,522386760,Special Bundle,1,"(173750.0, 208500.0]"
7,Face and Body Lotion 150gr + Travel Size 50gr [BUY 1 GET 2 Paket Skincare Anak & Bayi ],179900,5,5479,6/16/2025 12:11,985672100,Special Bundle,1,"(173750.0, 208500.0]"
8,Face and Body Lotion 150g & Telon Calming Rub Cream 50g [BUY 1 GET 2 Skincare Anak & Bayi - Expert Care Paket Tidur Nyenyak],221800,5,3840,6/16/2025 12:11,851712000,Special Bundle,1,"(208500.0, 243250.0]"
9,Telon Calming Rub Cream 50g + Expert Boost Vitamin D Gummy 600 IU 7pcs ,99900,4.9,821,6/16/2025 12:11,82017900,Calming Rub Cream,0,"(69500.0, 104250.0]"
10, 2in1 Shampoo and Body Wash + Face and Body Lotion 150gr [Paket Skincare Anak & Bayi],221800,4.9,21955,6/16/2025 12:11,4869619000,Special Bundle,1,"(208500.0, 243250.0]"
11," Face and Body Lotion 150gr, 2pcs [Paket Skincare Anak & Bayi] ",259900,5,8074,6/16/2025 12:11,2098432600,Special Bundle,1,"(243250.0, 278000.0]"
12,Expert Care Paket Physical Sunscreen 50gr + Face & Body Lotion Cream 150g[Paket Skincare Anak & Bayi] ,246800,4.9,10462,6/16/2025 12:11,2582021600,Special Bundle,1,"(243250.0, 278000.0]"
13,Calming Rub Cream Telon & Lavender 50g + Face & Body Lotion Bayi 50g[[BUY 2 GET 3] Paket Skincare Anak & Bayi],239900,4.9,5866,6/16/2025 12:11,1407253400,Special Bundle,1,"(208500.0, 243250.0]"
14,Lavender Calming Baby Cream 50g dengan Eucalyptus & Menthol[2pcs][Paket Skincare Anak & Bayi],179800,4.9,6170,6/16/2025 12:11,1109366000,Special Bundle,1,"(173750.0, 208500.0]"
15,Calming Cream & Vitamin Gummy - Lavender Calming Rub Cream 50g + Expert Boost Vitamin D Gummy 600 IU 7pcs,99900,4.9,509,6/16/2025 12:11,50849100,Calming Rub Cream,0,"(69500.0, 104250.0]"
16,Face & Body Lotion 150g & Lavender Calming Rub Cream 50g [[BUY 1 GET 2] Paket Skincare Anak & Bayi],209800,5,1906,6/16/2025 12:11,399878800,Special Bundle,1,"(208500.0, 243250.0]"
17,Expert Care 2pcs 2in1 Shampoo and Body Wash [Paket Skincare Anak & Bayi],183800,5,7928,6/16/2025 12:11,1457166400,Special Bundle,1,"(173750.0, 208500.0]"
18, Face & Body Lotion Travel Size 50gr + Physical Sunscreen Anak 50gr [Paket Skincare Anak & Bayi],208900,4.9,5186,6/16/2025 12:11,1083355400,Special Bundle,1,"(208500.0, 243250.0]"
19,Face and Body Lotion 150g + Telon & Lavender Calming Rub Cream + 2in1 Hair and Body Wash + Hair Lotion 100ml [Paket Skincare Anak & Bayi],466500,5,985,6/16/2025 12:11,459502500,Special Bundle,1,"(451750.0, 486500.0]"
20,Expert Care 3pcs Face & Body Lotion 150gr [Paket Skincare Anak & Bayi],379700,5,2964,6/16/2025 12:11,1125430800,Special Bundle,1,"(347500.0, 382250.0]"
21,Calming Rub Cream Telon 50g + Face & Body Lotion Bayi 50g 2pcs [[BUY 2 GET 3] Paket Skincare Anak & Bayi ],239900,4.9,5866,6/16/2025 12:11,1407253400,Special Bundle,1,"(208500.0, 243250.0]"
22, Face and Body Lotion 50g + 2pcs Expert Boost Vitamin D Gummy 600IU 7pcs,109900,4.9,64,6/16/2025 12:11,7033600,Special Bundle,1,"(104250.0, 139000.0]"
23,Expert Care Face & Body Lotion 150g + Face & Body Lotion 50g + Pouch [Special Deals] Skincare Anak & Bayi ],219900,5,140,6/16/2025 12:11,30786000,Special Bundle,1,"(208500.0, 243250.0]"
24,Expert Care 2in1 Hair and Body Wash [3pcs] [Paket Skincare Anak & Bayi],255700,5,2100,6/16/2025 12:11,536970000,Special Bundle,1,"(243250.0, 278000.0]"
25,Expert Care Gummy Vitamin D 600 IU 30pcs + Expert Care Lotion Anak 150gr [ Paket Kulit Sehat Imun Kuat] ,204900,5,1109,6/16/2025 12:11,227234100,Special Bundle,1,"(173750.0, 208500.0]"
26,Expert Care Gummy Vitamin D 600 IU + Expert Care Sabun & Sampo 250 ml [Paket Kulit Sehat Imun Kuat],165800,5,942,6/16/2025 12:11,156183600,Special Bundle,1,"(139000.0, 173750.0]"
27,Expert Care Telon Cream Calming Rub 50g + Face & Body Lotion Anak & Bayi 150g [Paket Tidur Nyenyak] [2pcs],314900,5,399,6/16/2025 12:11,125645100,Special Bundle,1,"(312750.0, 347500.0]"
28,"Expert Care Face and Body Lotion 150g + Expert Boost Vitamin D Gummy 600 IU 7pcs [Paket Kulit Lembap, Imun Kuat]",147900,5,122,6/16/2025 12:11,18043800,Special Bundle,1,"(139000.0, 173750.0]"
29,Expert Care Hair Lotion 100ml + Face and Body Lotion 50g + 2in1 Shampoo and Body Wash 250ml + Lavender & Telon Calming Rub Cream 50g + Physical Sunscreen 50g [Paket Skincare Anak & Bayi],554400,5,223,6/16/2025 12:11,123631200,Special Bundle,1,"(521250.0, 556000.0]"
30,Skincare Anak Bayi Paket Vitamin D Sunscreen,190800,5,710,6/16/2025 12:11,135468000,Special Bundle,1,"(173750.0, 208500.0]"
31,Expert Care Skincare Anak Bayi SPF50+ Oatmeal,246800,4.9,10462,6/16/2025 12:11,2582021600,Physical Sunscreen,0,"(243250.0, 278000.0]"
32,Expert Care Paket Skincare Anak Diskon 26K,352900,4.9,6813,6/16/2025 12:11,2404307700,Special Bundle,1,"(347500.0, 382250.0]"
33,Paket Skincare Anak Expert Care SPF50+ 50gr,313700,4.9,1126,6/16/2025 12:11,353226200,Special Bundle,1,"(312750.0, 347500.0]"
34,Paket Skincare Anak Bayi Expert Care SPF50+,218900,4.9,5186,6/16/2025 12:11,1135215400,Special Bundle,1,"(208500.0, 243250.0]"
35,[Buy 1 Get 2] Expert Care Skincare Anak Bayi Imun Kuat,219800,5,1906,6/16/2025 12:11,418938800,Special Bundle,1,"(208500.0, 243250.0]"
36,Paket Skincare Anak Bayi Expert Care 3in1 Lembap,265700,5,2029,6/16/2025 12:11,539105300,Special Bundle,1,"(243250.0, 278000.0]"
37,Expert Care Bundle Vitamin D Gummies Sunscreen Wash,293700,4.9,69,6/16/2025 12:11,20265300,Physical Sunscreen,0,"(278000.0, 312750.0]"
38,Paket Skincare Anak Bayi Expert Care 2in1 Oatmeal,358700,4.9,933,6/16/2025 12:11,334667100,Special Bundle,1,"(347500.0, 382250.0]"
39,Expert Care Skincare Anak Bayi 2pcs Lotion 50g,185800,4.9,348,6/16/2025 12:11,64658400,Special Bundle,1,"(173750.0, 208500.0]"
40,[Special Deals] Expert Care Skincare Anak Bayi Lembap Aman,358700,5,89,6/16/2025 12:11,31924300,Special Bundle,1,"(347500.0, 382250.0]"
41,Expert Care Paket Skincare Anak Vitamin D 600IU,114800,5,33,6/16/2025 12:11,3788400,Special Bundle,1,"(104250.0, 139000.0]"
42,Skincare Anak Bayi 2in1 Wash + Vitamin D Gummy,114800,5,52,6/16/2025 12:11,5969600,Expert Boost & Expert Care,0,"(104250.0, 139000.0]"
43,Skincare Anak Bayi Paket Lengkap Vitamin D Sunscreen,386600,5,33,6/16/2025 12:11,12757800,Special Bundle,1,"(382250.0, 417000.0]"
44,Expert Care Paket Skincare Anak Bayi 2pcs Lotion Cream,314900,5,399,6/16/2025 12:11,125645100,Special Bundle,1,"(312750.0, 347500.0]"
45,[Buy 2 Get 3] Expert Care Skincare Anak Hemat 2pcs,239900,4.9,1646,6/16/2025 12:11,394875400,Special Bundle,1,"(208500.0, 243250.0]"
46,Paket Skincare Anak Bayi Expert Care 2in1 Oatmeal,313700,5,2600,6/16/2025 12:11,815620000,Special Bundle,1,"(312750.0, 347500.0]"
47,[Buy 2 Get 3] Paket Skincare Anak Bayi Expert Care Lembap Aman,219900,4.9,669,6/16/2025 12:11,147113100,Special Bundle,1,"(208500.0, 243250.0]"
48,Best Deal Paket Skincare Vitamin Anak Imunitas,462600,5,53,6/16/2025 12:11,24517800,Special Bundle,1,"(451750.0, 486500.0]"
49,Paket Skincare Anak Bayi Expert Care 2in1 Oatmeal,451600,5,1782,6/16/2025 12:11,804751200,Special Bundle,1,"(417000.0, 451750.0]"
50,Expert Care Skincare Paket Anak Bayi Travel,436500,4.9,504,6/16/2025 12:11,219996000,Special Bundle,1,"(417000.0, 451750.0]"
51,[Special Deals] Expert Care Skincare Anak Bayi Lembap Sehat,229900,5,812,6/16/2025 12:11,186678800,Special Bundle,1,"(208500.0, 243250.0]"
